1;104;132;01:00.656;00:25:41.711;---;25;30;1
2;146;4;01:01.400;00:26:00.307;00:18.596;25;27;6
3;116;9;01:01.463;00:26:03.942;00:03.635;25;25;8
4;169;91;01:01.343;00:26:04.303;00:00.361;25;23;4
5;129;133;01:00.916;00:26:07.851;00:03.548;25;21;14
6;120;95;01:01.716;00:26:13.248;00:05.397;25;20;13
7;108;169;01:01.293;00:26:13.513;00:00.265;25;19;3
8;105;171;01:01.716;00:26:13.781;00:00.268;25;18;12
9;117;1;01:01.566;00:26:13.919;00:00.138;25;17;10
10;160;5;01:01.410;00:26:14.073;00:00.154;25;16;7
11;159;127;01:01.356;00:26:17.280;00:03.207;25;15;5
12;135;73;01:01.550;00:26:20.129;00:02.849;25;14;9
13;136;142;01:01.693;00:26:21.925;00:01.796;25;13;11
14;102;130;01:01.286;00:26:22.030;00:00.105;25;12;2
15;167;34;01:01.916;00:26:23.787;00:01.757;25;11;15
16;161;144;01:01.516;00:26:24.205;00:00.418;25;10;16
17;112;2;01:01.640;00:26:24.396;00:00.191;25;9;17
18;148;139;01:01.596;00:26:24.928;00:00.532;25;8;18
19;106;86;01:01.736;00:26:25.021;00:00.093;25;7;19
20;123;8;01:01.620;00:26:25.177;00:00.156;25;6;20
21;156;116;01:01.600;00:26:25.703;00:00.526;25;5;21
22;111;11;01:01.730;00:26:26.186;00:00.483;25;3;22
23;155;119;01:01.583;00:26:26.518;00:00.332;25;2;23
24;130;12;01:02.120;00:26:30.505;00:03.987;25;1;24
25;122;85;01:01.973;00:26:32.182;00:01.677;25;0;25
26;115;98;01:02.283;00:26:39.213;00:07.031;25;0;26
27;165;18;01:01.693;00:26:39.715;00:00.502;25;0;27
28;134;29;01:02.503;00:26:40.285;00:00.570;25;0;28
29;144;123;01:01.636;00:18:04.927;-6 voltas;17;0;29
