1;129;161;01:06.501;00:25:44.917;;23;30;2;0
2;121;140;01:06.536;00:25:44.597;00:00.080;23;27;4;0
3;157;146;01:06.861;00:25:57.782;00:12.785;23;25;9;0
4;112;162;01:06.958;00:26:02.584;00:00.345;23;23;10;0
5;146;155;01:06.530;00:26:02.874;00:00.290;23;21;3;0
6;126;17;01:06.739;00:26:03.407;00:00.533;23;20;7;0
7;154;168;01:06.820;00:26:03.948;00:00.541;23;19;8;0
8;160;134;01:06.397;00:26:04.236;00:00.288;23;18;1;0
9;114;170;01:06.612;00:26:06.152;00:01.916;23;17;5;0
10;132;126;01:07.628;00:26:13.921;00:07.769;23;16;17;0
11;102;154;01:07.509;00:26:14.258;00:00.337;23;15;18;0
12;170;113;01:06.644;00:26:14.840;00:00.582;23;14;6;0
13;111;163;01:07.510;00:26:15.183;00:00.343;23;13;19;0
14;108;165;01:06.927;00:26:15.957;00:00.774;23;12;20;0
15;161;167;01:07.240;00:26:16.297;00:00.340;23;11;14;0
16;162;45;01:07.253;00:26:16.909;00:00.612;23;10;15;0
17;120;125;01:07.485;00:26:18.048;00:01.139;23;9;21;0
18;145;89;01:07.112;00:26:22.246;00:04.198;23;8;13;0
19;137;156;01:07.001;00:26:25.423;00:03.177;23;7;11;0
20;156;27;01:07.823;00:26:27.824;00:02.401;23;6;22;0
21;122;160;01:07.837;00:26:31.833;00:04.009;23;5;23;0
22;152;137;01:07.228;00:26:33.719;00:01.886;23;4;16;0
23;140;157;01:07.942;00:26:35.088;00:01.369;23;3;24;0
24;163;136;01:07.382;00:26:38.279;00:03.191;23;2;25;0
25;150;148;01:08.770;00:25:53.911;-1 volta;22;1;26;0
26;141;147;01:07.010;00:26:02.239;00:04.457;23;0;12;0
27;118;124;01:09.564;00:16:35.368;-8 voltas;14;0;27;0
